stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0.5,17.5,49.250893599994015,,49.23452579998411,49.250893599994015,49.733569899981376,49.733569899981376,49.751178700011224,50.383809500024654,right,17.5,0,0,0.6466955000068992,50.03404420003062,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
40,0.5,18.0,50.399780799984,,50.384023700025864,50.399780799984,50.883125699998345,50.883125699998345,50.89985180000076,51.35004350001691,right,18.0,1,1,0.46194629999808967,51.18368180003017,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
41,0.5,18.0,51.36701779998839,,51.35022169997683,51.36701779998839,51.85048010002356,51.85048010002356,51.867604100028984,52.43367910000961,right,18.0,0,0,0.5665871999808587,52.1498653999879,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
42,0.5,18.5,52.44994860002771,,52.433855700015556,52.44994860002771,52.933943299984094,52.933943299984094,52.95017740002368,53.59992379997857,right,18.5,1,1,0.6527347000082955,53.233763900003396,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
43,0.5,18.5,53.61603929998819,,53.60011800000211,53.61603929998819,54.10054630000377,54.10054630000377,54.11593060003361,54.86775600002147,left,-18.5,0,0,0.7515663999947719,54.39984209998511,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
44,0.5,19.0,54.884087099984754,,54.86796810000669,54.884087099984754,55.38254780002171,55.38254780002171,55.39943290001247,56.03258370002732,right,19.0,1,1,0.6412759999511763,55.68434239999624,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
45,0.5,19.0,56.04915939999046,,56.03275880002184,56.04915939999046,56.533362700021826,56.533362700021826,56.54982800001744,57.2338736000238,left,-19.0,0,0,0.6967392999795265,56.84906360000605,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
46,0.5,19.5,57.25037209998118,,57.234059799986426,57.25037209998118,57.74906270002248,57.74906270002248,57.7658223999897,58.41563489998225,left,-19.5,1,1,0.657014700002037,58.05058799998369,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
47,0.5,19.5,58.43212449998828,,58.415813700004946,58.43212449998828,58.91533280001022,58.91533280001022,58.931855499977246,61.16658010001993,left,-19.5,1,1,2.2453424999839626,59.21589530003257,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
48,0.5,19.5,61.18231200001901,,61.16679510002723,61.18231200001901,61.66595039999811,61.66595039999811,61.68200969998725,62.26507590000983,right,19.5,1,1,0.5889588000136428,61.96502380003221,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
49,0.5,19.0,62.282242999994196,,62.265281400003005,62.282242999994196,62.76526399998693,62.76526399998693,62.782413300010376,63.28138180001406,left,-19.0,0,0,0.5113578999880701,63.06461010000203,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
50,0.5,19.5,63.29902119998587,,63.281563199998345,63.29902119998587,63.78145599999698,63.78145599999698,63.79795999999624,64.36489730002359,right,19.5,1,1,0.5734968999749981,64.08206139999675,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
51,0.5,19.5,64.38118239998585,,64.36512999999104,64.38118239998585,64.86512109998148,64.86512109998148,64.88124640000751,65.53144890000112,right,19.5,1,1,0.6615001000463963,65.16412700002547,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
